id,brand,model,wattage,size,price,status
50,Corsair,ML140 PRO,6,120,1422.0,true
62,InWin,Sirius Extreme Pure ASE120P,6,120,1349.0,true
55,Lian Li,Uni Fan,6,120,1150.0,true
53,Deepcool,RF120M,6,120,1099.0,true
24,Aerocool,APNX FP1-120,6,120,1025.0,true
68,COOLERMASTER,MASTERFAN MF120,6,120,946.66,true
57,NOCTUA,NF-F12 PWM,6,120,929.0,true
63,BeQuiet,SILENT WINGS,6,120,929.0,true
20,COOLERMASTER,MASTERFAN MF120,6,120,910.0,true
56,Gamdias,AEOLUS M2-1204R,6,120,910.0,true
14,YGT,#1250,6,120,795.0,true
19,Deepcool ,CF120,6,120,765.0,true
67,Deepcool, CF120,6,120,765.0,true
44,Deepcool,CF120,6,120,763.0,true
17,Deepcool,RF120 FS,6,120,740.0,true
9,Artic,P12 PWM PST,6,120,700.0,true
64,Arctic,P12 PWM PST,6,120,690.0,true
41,Abko,Spider Spectrum,6,120,600.0,true
38,Omega,Nova2,6,120,540.0,true
40,DEEPCOOL,RF120,6,120,521.66,true
27,Keytech,White Tornado,6,120,520.0,true
8,Abko,Spider Spectrum,6,120,460.0,true
15,RAKK,MARIS FLIP,6,120,431.66,true
51,RAKK,ABYSS,6,120,431.66,true
6,DarkFlash,INF 24 Pro,6,120,410.0,true
16,Arctic,P12 PWM PST,6,120,400.0,true
35,RAKK,Maris Duo,6,120,400.0,true
37,Rakk,Maris,6,120,400.0,true
47,Rakk,Maris Spectra,6,120,400.0,true
7,RAKK, MARIS Flip,6,120,398.33,true
61,InWin,LUNA AL120,6,120,386.33,true
54,ID Cooling,XF12025,6,120,378.33,true
22,DarkFlash,Infinity24,6,120,371.66,true
43,RAKK,Maris Pro,6,120,365.0,true
12,DarkFlash,DM12 F,6,120,360.0,true
52,Inwin,Sirius Loop ASL120,6,120,359.66,true
65,Arctic,F12 PWM PST,6,120,352.0,true
42,Abko,Spider,6,120,350.0,true
1,DarkFlash,DR12 PRO,6,120,333.33,true
39,Omega,Nova,6,120,295.0,true
46,Fantech,FB-301,6,120,275.0,true
77,Abko,Spider Spectrum 80,6,80,270.0,true
18,Darkflash,C6MS,6,120,260.0,true
70,Ovation,ACC,6,120,256.66,true
5,DarkFlash,DM12F,6,120,250.0,true
71,DarkFlash,DF80,6,80,250.0,true
30,Keytech,Storm X3 v2,6,120,247.5,true
4,Deepcool,RF120B,6,120,230.0,true
29,Deepcool,RF120r,6,120,230.0,true
66,Deepcool,RF120B,6,120,230.0,true
76,RAKK,MARIS Flip Mini,6,80,230.0,true
32,Inplay,Seaview Tower X3-W,6,120,228.33,true
21,Ovation,ACC,6,120,227.5,true
25,Inplay,eaview Tower X3-B,6,120,225.0,true
74,Deepcool,RF80B,6,80,220.0,true
58,InPlay,Aurora Tower,6,120,216.66,true
28,Inplay,Seaview One X1-B,6,120,210.0,true
69,Inplay,Seaview One X1-W Single,6,120,210.0,true
75,DarkFlash,DM80F,6,80,210.0,true
72,Inplay,Ice Tower 80,6,80,200.0,true
48,Deepcool,XFan,6,120,195.0,true
45,Deepcool,Wind Blade,6,120,192.0,true
78,Artic,P8 PWM PST,6,80,190.0,true
2, Inplay,Ice Tower V2,6,120,181.66,true
36,Deepcool,Wind Blade,6,120,180.0,true
73,Gstorm,Phantom Mini,6,80,180.0,true
31,Keytech,Tornado,6,120,173.33,true
79,Ovation,ACC 3in1 80,6,80,170.0,true
3,Gstorm,Phantom,6,120,165.0,true
34,Rakk,Ounos,6,120,165.0,true
11,Ovation,ACC 4in1,6,120,156.25,true
60,G Storm,Blaze Slim,6,120,150.0,true
59,InPlay,Aurora One,6,120,145.0,true
33,Deepcool,XFan,6,120,140.0,true
26,INPLAY,ICE ONE SINGLE FAN,6,120,125.0,true
10,Gstorm,Blaze FS,6,120,100.0,true
49,AD-Link,chassis fan black,6,120,50.0,true
23,Gstorm,Generic fan,6,120,35.0,true
13,DarkFlash,Infinity24,6,120,28.0,true
